MATERIAS;SEMESTRE;CRÉDITOS
ÁLGEBRA Y TRIGONOMETRÍA;1;3
CÁLCULO DIFERENCIAL;1;3
GEOMETRÍA VECTORIAL Y ANALÍTICA;1;3
VIVAMOS LA UNIVERSIDAD;1;1
INGLÉS I;1;1
LECTOESCRITURA;1;3
INTRODUCCIÓN A LA INGENIERÍA INDUSTRIAL;1;1
GESTIÓN DE LAS ORGANIZACIONES;2;3
HABILIDADES GERENCIALES;2;3
ÁLGEBRA LINEAL;2;3
CÁLCULO INTEGRAL;2;3
DESCUBRIENDO LA FÍSICA;2;3
INGLÉS II;2;1
GESTIÓN CONTABLE;3;3
FÍSICA MECÁNICA;3;3
INGLÉS III;3;1
ALGORITMIA Y PROGRAMACIÓN ;3;3
PROBABILIDAD E INFERENCIA ESTADISTÍCA;3;3
TEORÍA GENERAL DE SISTEMAS;3;3
INGENIERÍA ECONÓMICA ;4;3
ELECTIVA EN FÍSICA;4;3
INGLES IV;4;1
DISEÑO DE EXPERIMENTOS Y ANÁLISIS DE REGRESIÓN;4;3
OPTIMIZACIÓN;4;3
GESTIÓN DE MÉTODOS Y TIEMPOS ;4;4
GESTIÓN FINANCIERA;5;3
LABORATORIO INTEGRADO DE FÍSICA;5;1
INGLÉS V;5;1
FORMACIÓN CIUDADANA Y CONSTITUCIONAL;5;1
DINÁMICA DE SISTEMAS ;5;3
MUESTREO Y SERIES DE TIEMPO;5;3
PROCESOS ESTOCÁSTICOS Y ANÁLISIS DE DECISIÓN ;5;3
GESTIÓN POR PORCESOS ;5;3
GESTIÓNN TECNOLÓGICA;6;3
LEGISLACIÓN ;6;3
ELECTIVA EN HUMANIDADES I;6;3
INGLES VI;6;1
SIMMULACION DISCRETA;6;3
FORMULACIÓN DE PROYECTOS DE INVESTIGACIÓN ;6;3
NORMALIZACIÓN Y CONTROL DE CALIDAD ;6;3
FORMULACION Y EVALUACIÓN DE PROYECTOS DE INVERSIÓN;7;3
EMPRENDIMIENTO;7;2
ELECTIVA EN HUMANIDADES II;7;3
ÉNFASIS PROFESIONAL I;7;3
ELECTIVA COMPLEMENTARIA I;7;3
DISEÑO DE SISTEMAS PRODUCTIVOS;7;3
GESTIÓN DE PROYECTOS ;8;3
ELECTIVA EN HUMANIDADES III;8;3
ÉNFASIS PROFESIONAL II;8;3
ELECTIVA COMPLEMENTARIA II;8;3
ADMINISTRACIÓN DE LA PRODUCCIÓN Y DEL SERVICIO;8;3
ELECTIVA EN HUMANIDADES IV;9;3
ÉNFASIS PROFESIONAL III;9;3
ELECTIVA COMPLEMENTARIA III;9;3
GESTIÓN DE LA CADENA DE ABASTECIMIENTO ;9;3
INGENIERÍA DEL MEJORAMIENTO CONTINUO;9;3
PRÁCTICA PROFESIONAL;10;12
